,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
8491,6522459,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,392996.0,2016-09-27,,2018-03-27,Permit Issued,47.55859041,-122.3804372
8515,6350908,Construction,COMMERCIAL,NEW,Plan Review,909473.0,2013-06-28,2016-08-02,2017-12-28,Permit Closed,47.58121431,-122.3150726
8532,6510978,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,460063.0,2016-06-11,,2017-12-11,Permit Issued,47.66948106,-122.2871725
8546,6418924,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,451140.0,2015-01-09,2015-11-19,2016-07-09,Permit Closed,47.67014073,-122.2844872
8549,6470867,Construction,MULTIFAMILY,NEW,Plan Review,695240.0,2015-11-06,2017-05-02,2017-05-06,Permit Finaled,47.66456385,-122.3666935
8572,6437088,Construction,COMMERCIAL,NEW,Plan Review,922718.0,2015-03-12,2016-05-03,2016-09-12,Permit Closed,47.6133383,-122.3071104
8574,6405584,Construction,MULTIFAMILY,NEW,Plan Review,10151996.0,2015-11-16,2017-06-07,2018-11-16,Permit Closed,47.67825665,-122.31690079999998
8575,6369277,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,407198.0,2013-12-10,2014-08-06,2015-06-10,Permit Closed,47.64003747,-122.2787758
8577,6409336,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,386533.0,2014-07-17,2015-03-16,2016-01-17,Permit Closed,47.67134434,-122.3731594
8578,6457861,Construction,MULTIFAMILY,NEW,Plan Review,2818582.0,2015-11-14,2018-02-26,2018-11-14,Permit Closed,47.61777564,-122.3132728
8582,6244005,Construction,MULTIFAMILY,NEW,Plan Review,308783.0,2014-05-30,,2018-11-30,Permit Issued,47.67090378,-122.3170551
8603,6531736,Construction,INSTITUTIONAL,NEW,Plan Review,23886804.0,2017-04-03,,2018-10-03,Permit Issued,47.65300378,-122.3050043
8609,6415354,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,333834.0,2014-09-26,2015-05-06,2016-03-26,Permit Closed,47.69727193,-122.291627
8638,6391523,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,388775.0,2014-07-15,2015-11-25,2016-01-15,Permit Closed,47.69285856,-122.37446
8643,6558361,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,495960.0,2016-12-29,2017-10-11,2018-06-29,Permit Closed,47.68098853,-122.3749648
8653,6590390,Construction,MULTIFAMILY,NEW,Plan Review,1151345.0,2018-02-13,,2019-08-13,Permit Issued,47.69100049,-122.305979
8654,6372966,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,280392.0,2013-09-30,2014-05-12,2015-03-30,Permit Closed,47.5577524,-122.3578775
8665,6498568,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,362945.0,2016-04-20,2017-06-02,2017-10-20,Permit Closed,47.55323972,-122.3076505
8693,6421627,Construction,INDUSTRIAL,NEW,Plan Review,61443779.0,2017-07-27,,2019-01-27,Permit Issued,47.54806005,-122.3313413
8709,6523924,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,528622.0,2016-07-28,2017-05-15,2018-01-28,Permit Closed,47.6559887,-122.3514458
8713,6426748,Construction,MULTIFAMILY,NEW,Plan Review,5148353.0,2015-03-10,2017-08-17,2018-02-10,Cert of Occupancy Authorized,47.64144415,-122.3249605
8718,6489530,Construction,MULTIFAMILY,NEW,Plan Review,295690.0,2016-02-19,,2017-08-19,Permit Issued,47.63875014,-122.3434398
8733,6462238,Construction,MULTIFAMILY,NEW,Plan Review,21307308.0,2017-03-20,,2018-09-20,Permit Issued,47.62002713,-122.3394057
8745,6425210,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,724618.0,2015-03-06,2016-08-01,2016-09-06,Permit Closed,47.62772363,-122.2858509
8757,6530371,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,562010.0,2016-08-03,2017-05-09,2018-02-03,Permit Closed,47.67363492,-122.3890969
8798,6291990,Construction,COMMERCIAL,NEW,Plan Review,5818738.0,2013-10-08,2015-08-28,2016-10-08,Permit Closed,47.7325639,-122.3559097
8803,6401509,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,401689.0,2014-05-06,2015-04-21,2015-11-06,Permit Closed,47.6654915,-122.3265809
8840,6410126,Construction,MULTIFAMILY,NEW,Plan Review,406944.0,2015-04-09,,2016-10-09,Permit Closed,47.65210113,-122.3450273
8846,6370726,Construction,MULTIFAMILY,NEW,Plan Review,390052.0,2014-06-04,,2015-12-04,Permit Closed,47.55796764,-122.3626484
8863,6363019,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,275658.0,2013-07-03,2014-12-05,2015-01-03,Permit Closed,47.52568789,-122.3615165
8872,6368441,Construction,MULTIFAMILY,NEW,Plan Review,879787.0,2014-10-24,2016-04-13,2016-04-24,Cert of Occupancy Authorized,47.65652186,-122.3195114
8881,6359515,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,322157.0,2014-01-09,2016-02-09,2017-01-09,Permit Closed,47.63930619,-122.386608
8887,6403730,Construction,COMMERCIAL,NEW,Plan Review,32048979.0,2014-08-21,2016-04-11,2017-08-21,Permit Closed,47.62893599,-122.3414135
8899,6368156,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325846.0,2014-01-09,2015-01-20,2015-07-09,Permit Closed,47.71506559,-122.3324814
8900,6369238,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,294190.0,2013-10-24,,2015-04-24,Permit Issued,47.57122888,-122.2864923
8904,6378900,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,430151.0,2014-01-28,2014-11-21,2015-07-28,Permit Closed,47.68749167,-122.3299692
8914,6445306,Construction,MULTIFAMILY,NEW,Plan Review,3862886.0,2017-10-10,,2019-04-10,Permit Issued,47.69204798,-122.3432229
8958,6356617,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,334067.0,2013-10-22,2015-04-15,2015-04-22,Permit Closed,47.73012749,-122.3345257
8967,6515232,Construction,MULTIFAMILY,NEW,Plan Review,535163.0,2017-08-05,,2019-02-05,Permit Issued,47.65916729999999,-122.3518963
8968,6477239,Construction,MULTIFAMILY,NEW,Plan Review,497050.0,2016-02-17,2016-12-16,2017-08-17,Permit Finaled,47.5439615,-122.3754077
8969,6403283,Construction,MULTIFAMILY,NEW,Plan Review,479608.0,2015-04-10,2017-09-26,2018-04-10,Permit Closed,47.66021227,-122.3449313
8971,6498547,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,494406.0,2016-03-14,2017-02-07,2017-09-14,Permit Closed,47.66723394,-122.2781594
8978,6422569,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,337089.0,2015-03-30,2016-08-04,2016-09-30,Permit Closed,47.68421368,-122.3619535
8989,6391422,Construction,MULTIFAMILY,NEW,Plan Review,312306.0,2014-03-01,2017-05-19,2015-09-01,Permit Closed,47.57447796,-122.38703490000002
8990,6402054,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,339933.0,2014-07-07,2015-06-25,2016-01-07,Permit Closed,47.66726711,-122.2958823
9015,6553673,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,315433.0,2017-04-13,,2018-10-13,Permit Issued,47.71250149,-122.3499408
9016,6583483,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,524555.0,2017-11-11,,2019-05-11,Permit Issued,47.71772786,-122.372106
9021,6486794,Construction,COMMERCIAL,NEW,Plan Review,918760.0,2016-08-07,,2019-08-07,Permit Issued,47.57521055,-122.3870216
9022,6478276,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,374146.0,2017-01-05,,2018-07-05,Permit Issued,47.67506194,-122.3932639
9023,6504535,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,335709.0,2017-07-06,,2019-01-06,Permit Issued,47.55488115,-122.2804726
9027,6372146,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,407553.0,2013-12-18,2014-12-18,2015-06-18,Permit Closed,47.6770064,-122.3303344
9045,6472713,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,338763.0,2015-12-09,2017-08-16,2018-12-09,Permit Closed,47.56134325,-122.3993477
9089,6512657,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,406212.0,2016-12-29,,2018-06-29,Permit Issued,47.63998918,-122.3244347
9094,6500723,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,299403.0,2016-06-08,2017-07-17,2017-12-08,Permit Closed,47.69501083,-122.3522278
9097,6572864,Construction,MULTIFAMILY,NEW,Plan Review,775165.0,2017-09-29,,2019-03-29,Permit Issued,47.66237784,-122.3537913
9099,6344969,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,314336.0,2013-10-08,2014-09-02,2015-04-08,Permit Closed,47.67545155,-122.3814245
9100,6443274,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,376157.0,2015-02-22,2015-10-08,2016-08-22,Permit Closed,47.67371516,-122.348221
9115,6521108,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,503426.0,2016-08-10,2018-01-31,2018-02-10,Permit Closed,47.565162,-122.3659994
9140,6354929,Construction,MULTIFAMILY,NEW,Plan Review,389710.0,2014-02-24,,2015-08-24,Permit Closed,47.68883825,-122.3555542
9148,6407615,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,420646.0,2015-02-02,2016-08-10,2016-08-02,Permit Finaled,47.62362887,-122.299072
