,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
34985,6501208,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,325502.0,2016-08-12,2017-06-30,2018-02-12,Permit Finaled,47.63173713,-122.3549169
34998,6464007,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,677646.0,2016-01-07,2017-01-26,2017-07-07,Permit Closed,47.65079217,-122.3725913
35002,6354902,Construction,MULTIFAMILY,NEW,Plan Review,2825161.0,2015-04-30,2016-08-31,2016-10-30,Permit Closed,47.66142742,-122.3033452
35006,6559677,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,468449.0,2018-03-22,,2019-09-22,Permit Issued,47.65608685,-122.3997414
35043,6511776,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,471792.0,2016-12-08,2017-11-14,2018-06-08,Permit Closed,47.65459491,-122.3305707
35083,6390474,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,469269.0,2015-07-25,2017-05-31,2018-07-25,Permit Closed,47.55954799,-122.3919215
35128,6384249,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,339213.0,2013-12-20,2015-07-24,2016-12-20,Permit Closed,47.68010024,-122.3862027
35137,6487563,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,462667.0,2017-08-29,,2019-02-28,Permit Issued,47.56707465,-122.4069644
35162,6472705,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,370499.0,2016-01-11,2017-05-10,2017-07-11,Permit Closed,47.57498113,-122.2874317
35172,6343745,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,2311073.0,2015-12-30,2016-10-06,2017-06-30,Permit Closed,47.50381028,-122.2645327
35204,6391598,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,346382.0,2015-09-21,2016-09-20,2017-03-21,Permit Closed,47.53385843,-122.3878483
35217,6416214,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,275000.0,2014-08-08,2016-04-28,2016-02-08,Permit Closed,47.55250248,-122.3129919
35231,6340749,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,280274.0,2013-04-25,2013-10-24,2014-10-25,Permit Closed,47.58673371,-122.2950783
35286,6446552,Construction,MULTIFAMILY,NEW,Plan Review,1749298.0,2015-03-18,2016-10-14,2016-09-18,Permit Closed,47.66974927,-122.385144
35303,6408311,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,302177.0,2014-07-30,,2016-01-30,Permit Closed,47.70168538,-122.3408127
35332,6370621,Construction,INSTITUTIONAL,NEW,Plan Review,17856708.0,2015-03-25,2017-05-03,2018-03-25,Permit Closed,47.68566128,-122.2843148
35335,6392906,Construction,COMMERCIAL,NEW,Plan Review,19504854.0,2015-04-24,2017-08-24,2018-04-24,Permit Closed,47.63211623,-122.34152759999998
35351,6488547,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,393954.0,2015-10-16,2016-09-26,2017-04-16,Permit Closed,47.69516331,-122.3256785
35383,6424553,Construction,COMMERCIAL,NEW,Plan Review,5030000.0,2015-05-22,2017-12-07,2016-11-22,Permit Closed,47.61709778,-122.3375332
35396,6592628,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,750000.0,2017-11-09,,2019-05-09,Permit Issued,47.65341361,-122.3960566
35414,6503114,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,412741.0,2016-04-14,2017-08-28,2017-10-14,Permit Closed,47.55882248,-122.363437
35428,6500695,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262097.0,2016-05-24,2017-06-23,2017-11-24,Permit Closed,47.59648241,-122.29840790000002
35432,6548702,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,391596.0,2017-04-13,,2018-10-13,Permit Issued,47.62750955,-122.3205291
35438,6509651,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,363715.0,2017-02-28,,2018-08-28,Permit Issued,47.52926789,-122.3911652
35443,6567861,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,457939.0,2017-08-22,,2019-02-22,Permit Issued,47.70735085,-122.338274
35447,6554078,Construction,MULTIFAMILY,NEW,Plan Review,598641.0,2017-10-31,,2019-04-30,Permit Issued,47.54403993,-122.3220799
35485,6378267,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,331410.0,2013-11-25,2014-10-22,2015-05-25,Permit Closed,47.72970209,-122.3348745
35487,6402175,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,379228.0,2014-04-24,2014-12-03,2015-10-24,Permit Closed,47.6355826,-122.371207
35505,6488143,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,463187.0,2016-04-28,2017-11-29,2017-10-28,Permit Closed,47.60064134,-122.2934207
35511,6394076,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,326673.0,2014-04-07,2015-03-05,2015-10-07,Permit Closed,47.70378128,-122.2898017
35522,6483844,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,445652.0,2017-02-16,2018-02-20,2018-08-16,Permit Closed,47.69078418,-122.3648236
35536,6376459,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,393592.0,2013-10-05,2014-10-06,2015-04-05,Permit Closed,47.68457517,-122.3492399
35539,6542545,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,455533.0,2016-10-18,2017-05-15,2018-04-18,Permit Closed,47.69130171,-122.3373923
35546,6529211,Construction,MULTIFAMILY,NEW,Plan Review,2526165.0,2017-03-01,,2018-09-01,Permit Issued,47.55722935,-122.285967
35569,6461652,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,434273.0,2015-12-15,2016-09-13,2017-06-15,Permit Closed,47.54326661,-122.3749206
35578,6509962,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,270607.0,2016-06-13,2017-03-29,2017-12-13,Permit Closed,47.51634167,-122.3777014
35628,6407714,Construction,MULTIFAMILY,NEW,Plan Review,5451078.0,2016-01-27,,2019-01-27,Permit Issued,47.65926513,-122.3163754
35698,6353029,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262675.0,2013-05-23,2013-11-21,2014-11-23,Permit Closed,47.68779227,-122.3327732
35708,6488214,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,360660.0,2016-02-05,2016-11-02,2017-08-05,Permit Closed,47.51635043,-122.3828423
35710,6346986,Construction,MULTIFAMILY,NEW,Plan Review,279466.0,2013-08-12,2015-06-03,2016-08-12,Permit Closed,47.61991155,-122.3109631
35712,6512070,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,518035.0,2016-06-27,,2017-12-27,Permit Issued,47.6787257,-122.2673871
35715,6432360,Construction,MULTIFAMILY,NEW,Plan Review,4670863.0,2016-05-31,,2017-11-30,Permit Issued,47.61891586,-122.3212914
35718,6513975,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,265926.0,2017-06-12,,2018-12-12,Permit Issued,47.60847329999999,-122.2964869
35728,6389316,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,541971.0,2014-05-11,2015-06-17,2015-11-11,Permit Closed,47.64562645,-122.3737293
35769,6357764,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,662090.0,2013-08-20,,2015-02-20,Permit Closed,47.51719838,-122.3946543
35811,6553271,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,417452.0,2017-05-03,,2018-11-03,Permit Issued,47.57163648,-122.373926
35830,6329454,Construction,COMMERCIAL,NEW,Plan Review,600000.0,2014-02-07,2015-01-30,2015-08-07,Permit Closed,47.65921936,-122.3862884
35832,6489887,Construction,MULTIFAMILY,NEW,Plan Review,2835642.0,2016-08-23,,2019-08-23,Permit Issued,47.61946586,-122.31911399999998
35836,6392413,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,397464.0,2014-02-08,2015-06-02,2015-08-08,Permit Closed,47.61144428,-122.2906442
35874,6590386,Construction,MULTIFAMILY,NEW,Plan Review,1380198.0,2018-02-13,,2019-08-13,Permit Issued,47.69169834,-122.3055932
35887,6453677,Construction,MULTIFAMILY,NEW,Plan Review,16252201.0,2015-11-04,2017-07-10,2018-11-04,Permit Closed,47.69572937,-122.3733593
35889,6519152,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,406694.0,2016-09-01,2017-07-27,2018-03-01,Permit Closed,47.68608417,-122.3922005
35896,6362802,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,309742.0,2014-09-20,2015-07-27,2016-03-20,Permit Closed,47.53574032,-122.34422240000002
35936,6404206,Construction,MULTIFAMILY,NEW,Plan Review,4348621.0,2014-10-16,2016-04-20,2016-04-16,Permit Closed,47.5596089,-122.2904265
35939,6498841,Construction,MULTIFAMILY,NEW,Plan Review,1369690.0,2016-11-15,,2018-05-15,Permit Issued,47.62000164,-122.2983594
35957,6414041,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,398169.0,2016-05-11,2018-01-19,2019-05-11,Permit Closed,47.56964185,-122.3608437
35971,6361824,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,428368.0,2014-01-02,2015-01-12,2015-07-02,Permit Closed,47.58286261,-122.3129627
35996,6488946,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,255295.0,2016-06-11,2018-01-16,2019-06-11,Permit Closed,47.57652279,-122.3091633
36000,6361643,Construction,COMMERCIAL,NEW,Plan Review,650000.0,2013-09-16,2016-04-27,2016-09-16,Permit Closed,47.6199079,-122.3481733
36007,6348083,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,398308.0,2013-05-24,2014-09-15,2014-11-24,Permit Closed,47.66691539,-122.3321823
36014,6422577,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,415527.0,2014-12-08,2016-01-14,2016-06-08,Permit Closed,47.56594683,-122.3985285
36023,6525374,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,258350.0,2017-02-02,,2018-08-02,Permit Issued,47.55247918,-122.270807
36032,6546681,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,305991.0,2017-02-22,,2018-08-22,Permit Issued,47.54276595,-122.3201548
36047,6391969,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,323675.0,2014-03-11,2015-01-27,2015-09-11,Permit Closed,47.72343432,-122.2894447
36048,6326179,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,409780.0,2013-10-01,2015-11-19,2016-10-01,Permit Closed,47.64896225,-122.318589
36052,6448979,Construction,COMMERCIAL,NEW,Plan Review,25719796.0,2017-03-14,,2018-09-14,Permit Issued,47.61630005,-122.3390341
36116,6356937,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,367373.0,2013-08-07,2016-05-24,2017-08-07,Permit Closed,47.64845821,-122.407661
36128,6353031,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,329162.0,2013-09-07,2015-03-12,2015-03-07,Permit Closed,47.61636188,-122.2895265
36143,6452356,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,430239.0,2015-04-21,2015-11-24,2016-10-21,Permit Closed,47.71445605,-122.2849537
36150,6322311,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,385013.0,2013-07-11,2014-12-08,2015-01-11,Permit Closed,47.59020853,-122.3907773
36164,6395985,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,446873.0,2014-03-21,2014-12-09,2015-09-21,Permit Closed,47.65199921,-122.3732679
36170,6387334,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,387003.0,2014-11-10,2015-10-23,2016-05-10,Permit Closed,47.55471709,-122.3556229
36179,6397825,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,377491.0,2014-06-14,2015-06-26,2015-12-14,Permit Closed,47.71699332,-122.2821013
36180,6479922,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,486616.0,2017-04-05,,2018-10-05,Permit Issued,47.51350953,-122.2730938
36188,6530812,Construction,COMMERCIAL,NEW,Plan Review,191358545.0,2017-10-18,,2019-04-18,Permit Issued,47.61889483,-122.3348704
36192,6463834,Construction,COMMERCIAL,NEW,Plan Review,4962065.0,2017-05-24,,2018-11-24,Permit Issued,47.61438165,-122.3222968
36193,6513646,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,286270.0,2016-08-04,,2019-08-04,Permit Issued,47.5344571,-122.3678138
36199,6516091,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,360383.0,2017-01-10,,2018-07-10,Permit Issued,47.55094183,-122.3057822
36207,6455071,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,421063.0,2015-04-16,2016-02-08,2016-10-16,Permit Closed,47.56040437,-122.2752222
36222,6522397,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,570286.0,2017-07-07,,2019-01-07,Permit Issued,47.54951216,-122.2622885
36254,6368568,Construction,MULTIFAMILY,NEW,Plan Review,445823.0,2013-08-20,2014-06-20,2015-02-20,Permit Closed,47.64507861,-122.3744733
36256,6478303,Construction,MULTIFAMILY,NEW,Plan Review,486783.0,2016-11-23,2018-03-21,2018-05-23,Permit Closed,47.5344542,-122.2795583
36282,6585698,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,670170.0,2018-03-22,,2019-09-22,Permit Issued,47.68094232,-122.26824750000002
36287,6425188,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,389770.0,2015-02-04,2015-08-10,2016-08-04,Permit Closed,47.72813886,-122.3347607
36307,6496409,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,334818.0,2016-05-26,2017-06-09,2017-11-26,Permit Closed,47.55566563,-122.2729446
36323,6575123,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,402662.0,2017-11-07,,2019-05-07,Permit Issued,47.69818858,-122.348015
36324,6320358,Construction,MULTIFAMILY,NEW,Plan Review,568489.0,2013-08-17,2014-05-21,2015-02-17,Cert of Occupancy Authorized,47.69536449,-122.3434702
36327,6544631,Construction,MULTIFAMILY,NEW,Plan Review,6255970.0,2017-05-16,,2018-11-16,Permit Issued,47.61287761,-122.3241994
36371,6532578,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,495311.0,2017-08-04,,2019-02-04,Permit Issued,47.51061995,-122.25147549999998
36380,6374469,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,454613.0,2013-12-11,2015-02-27,2015-06-11,Permit Closed,47.63320916,-122.3682028
36393,6380941,Construction,MULTIFAMILY,NEW,Plan Review,823150.0,2014-09-27,2015-10-30,2016-03-27,Permit Closed,47.66785828,-122.3139331
36436,6533344,Construction,COMMERCIAL,NEW,Plan Review,1687268.0,2017-08-22,,2019-02-22,Permit Issued,47.61875870000001,-122.3552476
36444,6559946,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,380267.0,2016-12-17,2018-02-08,2018-06-17,Permit Closed,47.68287798,-122.3802813
36448,6603207,Construction,COMMERCIAL,NEW,Plan Review,1930210.0,2018-03-22,,2019-09-22,Permit Issued,47.61836439,-122.344514
36460,6516738,Construction,COMMERCIAL,NEW,Plan Review,3900000.0,2017-08-15,,2019-02-15,Permit Issued,47.61282934,-122.342242
36480,6580625,Construction,COMMERCIAL,NEW,Plan Review,2800000.0,2017-07-17,,2019-01-17,Permit Issued,47.63377733,-122.3756058
36515,6493118,Construction,MULTIFAMILY,NEW,Plan Review,502250.0,2016-03-29,2017-10-16,2017-09-29,Permit Finaled,47.64991394,-122.3745245
36517,6332284,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,279270.0,2013-06-14,2013-12-12,2014-12-14,Permit Closed,47.69692302,-122.3650977
36531,6494000,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,1149252.0,2018-01-03,,2019-07-03,Permit Issued,47.60061758,-122.3060798
36534,6412152,Construction,COMMERCIAL,NEW,Plan Review,44878262.0,2016-06-15,2017-12-14,2017-12-15,Permit Closed,47.61556306,-122.3327618
36535,6539408,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,473981.0,2017-02-01,,2018-08-01,Permit Issued,47.54957292,-122.3609752
36536,6487325,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,423770.0,2015-11-06,2016-11-03,2017-05-06,Permit Closed,47.67334661,-122.26505559999998
36558,6285753,Construction,COMMERCIAL,NEW,Plan Review,2500000.0,2015-08-12,,2017-02-12,Permit Closed,47.60911773,-122.3383204
36566,6408870,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,264484.0,2014-08-07,2015-03-11,2016-02-07,Permit Closed,47.68015562,-122.3733433
36611,6575326,Construction,MULTIFAMILY,NEW,Plan Review,654896.0,2018-02-05,,2019-08-05,Permit Issued,47.66105047,-122.3237374
36619,6456468,Construction,INDUSTRIAL,NEW,Plan Review,4539343.0,2016-07-07,2017-10-12,2018-01-07,Permit Closed,47.55009055,-122.3319557
36622,6595678,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,250838.0,2018-01-29,,2019-07-29,Permit Issued,47.56571447,-122.3642062
36655,6438159,Construction,COMMERCIAL,NEW,Plan Review,292239968.0,2017-03-14,,2018-09-14,Permit Issued,47.61630005,-122.3390341
36684,6470939,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,389162.0,2015-11-18,2016-08-19,2017-05-18,Permit Closed,47.67860358,-122.3753951
36693,6522668,Construction,MULTIFAMILY,NEW,Plan Review,782442.0,2017-04-04,,2018-10-04,Permit Issued,47.59682268,-122.3092588
36695,6575004,Construction,MULTIFAMILY,NEW,Plan Review,586607.0,2017-09-09,,2019-03-09,Permit Issued,47.67499448,-122.3826743
36715,6313785,Construction,COMMERCIAL,NEW,Plan Review,4100000.0,2014-11-03,2016-04-11,2016-05-03,Permit Closed,47.62334132,-122.3345852
36734,6412217,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,611850.0,2014-10-21,,2016-04-21,Permit Closed,47.67830746,-122.37534709999998
36746,6449827,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,426264.0,2015-09-16,2017-03-15,2017-03-16,Permit Closed,47.55672179,-122.3614173
36756,6453399,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,332879.0,2015-05-18,2015-12-01,2016-11-18,Permit Closed,47.72429079,-122.30491409999998
36757,6507981,Construction,MULTIFAMILY,NEW,Plan Review,10957608.0,2017-03-15,,2018-09-15,Permit Issued,47.62004201,-122.3591248
36765,6584353,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,445368.0,2017-09-22,,2019-03-22,Permit Issued,47.67264412,-122.27097890000002
36766,6348611,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,573779.0,2013-12-28,2016-06-09,2016-12-28,Permit Closed,47.64853400000001,-122.2774395
36772,6358926,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,509455.0,2013-09-13,,2015-03-13,Permit Closed,47.64147934,-122.2842163
36781,6377527,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,331775.0,2014-05-05,2015-10-12,2015-11-05,Permit Closed,47.58839196,-122.2871429
36788,6539625,Construction,MULTIFAMILY,NEW,Plan Review,959226.0,2017-07-13,,2019-01-13,Permit Issued,47.54715128,-122.3744584
36826,6494431,Construction,MULTIFAMILY,NEW,Plan Review,4813248.0,2016-05-13,2017-08-07,2017-11-13,Permit Closed,47.62215883,-122.3243292
36833,6502215,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,323949.0,2016-09-14,,2018-03-14,Permit Issued,47.63697428,-122.3619325
36851,6412796,Construction,MULTIFAMILY,NEW,Plan Review,390053.0,2014-07-08,,2016-01-08,Permit Closed,47.55785025,-122.3626419
36885,6519407,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,299563.0,2016-09-02,2017-10-31,2018-03-02,Permit Finaled,47.56499906,-122.3651662
36917,6306636,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,309492.0,2013-08-17,2014-05-20,2015-02-17,Permit Closed,47.72317852,-122.310402
36918,6581940,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,660701.0,2018-02-09,,2019-08-09,Permit Issued,47.64246442,-122.40525420000002
36925,6410063,Construction,MULTIFAMILY,NEW,Plan Review,833726.0,2014-08-28,2016-03-30,2016-02-28,Permit Closed,47.57741357,-122.4097026
36953,6505982,Construction,MULTIFAMILY,NEW,Plan Review,430068.0,2017-03-29,,2018-09-29,Permit Issued,47.55533534,-122.2853805
36967,6354431,Construction,MULTIFAMILY,NEW,Plan Review,1404291.0,2014-10-13,2015-08-14,2016-04-13,Permit Closed,47.65201447,-122.3417162
36968,6434338,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,424288.0,2016-01-20,2017-09-12,2017-07-20,Permit Closed,47.63659018,-122.3695497
36970,6569113,Construction,COMMERCIAL,NEW,Plan Review,550000.0,2017-01-12,,2018-07-12,Permit Issued,47.63874172,-122.3693703
36976,6420493,Construction,MULTIFAMILY,NEW,Plan Review,337022.0,2016-09-12,,2018-03-12,Permit Issued,47.52445287,-122.2807127
37008,6352394,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,352017.0,2014-03-11,2017-05-23,2017-03-11,Permit Closed,47.57072345,-122.2880968
37013,6464092,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,251321.0,2015-05-14,2017-01-06,2016-11-14,Permit Closed,47.67212002,-122.3795479
37018,6584291,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,308000.0,2017-09-28,,2019-03-28,Permit Issued,47.67273856,-122.2706592
37063,6481903,Construction,MULTIFAMILY,NEW,Plan Review,692408.0,2016-06-27,2017-07-11,2017-12-27,Permit Closed,47.68991591,-122.3749895
37079,6547995,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,298789.0,2018-01-08,,2019-07-08,Permit Issued,47.54536985,-122.3608761
37091,6336571,Construction,MULTIFAMILY,NEW,Plan Review,2237146.0,2014-10-10,2015-12-03,2016-04-10,Permit Closed,47.61974247,-122.3175114
37094,6577344,Construction,MULTIFAMILY,NEW,Plan Review,310371.0,2017-11-11,,2019-05-11,Permit Issued,47.6014644,-122.2992745
37099,6439790,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,509198.0,2015-02-22,2016-04-25,2016-08-22,Permit Closed,47.67691295,-122.2926259
37109,6423757,Construction,MULTIFAMILY,NEW,Plan Review,18380495.0,2015-12-04,2017-08-15,2018-12-04,Permit Closed,47.60053038,-122.3196145
37124,6418734,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,476998.0,2014-08-08,,2016-02-08,Permit Closed,47.63571505,-122.2805512
37138,6364158,Construction,MULTIFAMILY,NEW,Plan Review,13322722.0,2014-02-13,2015-07-07,2015-08-13,Permit Closed,47.65157136,-122.3423224
37150,6549370,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,451361.0,2017-07-12,,2019-01-12,Permit Issued,47.66723602,-122.275807
37272,6295712,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,406897.0,2013-05-02,,2014-11-02,Permit Closed,47.58441513,-122.3980978
37274,6463924,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,478081.0,2016-07-16,,2018-01-16,Permit Issued,47.58524266,-122.31123999999998
37283,6429048,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,331135.0,2014-11-25,2015-10-22,2016-05-25,Permit Closed,47.63005345,-122.3451537
37286,6518944,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,351820.0,2016-10-20,2017-06-16,2018-04-20,Permit Closed,47.54161209,-122.3569399
37288,6374510,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,464645.0,2014-05-09,2017-02-13,2017-05-09,Permit Closed,47.55907535,-122.28905690000002
37303,6419453,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,365737.0,2014-12-22,2016-02-04,2016-06-22,Permit Closed,47.65711724,-122.3483104
37307,6405422,Construction,MULTIFAMILY,NEW,Plan Review,1270433.0,2015-05-22,2016-11-14,2016-11-22,Cert of Occupancy Authorized,47.65236628,-122.3488764
37309,6515128,Construction,COMMERCIAL,NEW,Plan Review,25247537.0,2017-09-23,,2019-03-23,Permit Issued,47.63377733,-122.3756058
37321,6381139,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,308586.0,2014-01-13,2014-10-10,2015-07-13,Permit Closed,47.71756381,-122.3373078
37324,6366532,Construction,MULTIFAMILY,NEW,Plan Review,6307170.0,2015-08-06,2017-10-30,2018-08-06,Permit Closed,47.61395165,-122.3241443
37344,6504396,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,378240.0,2016-09-21,2017-08-30,2018-03-21,Permit Closed,47.53175467,-122.2863888
37347,6361743,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,449038.0,2014-07-07,2015-12-22,2016-01-07,Permit Closed,47.65559883,-122.38772079999998
37382,6476867,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,261650.0,2015-08-19,2017-03-17,2017-02-19,Permit Closed,47.69346081,-122.3399104
37383,6582165,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,507061.0,2017-08-10,,2019-02-10,Permit Issued,47.67857519,-122.3967159
37390,6563058,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,348653.0,2017-06-24,,2018-12-24,Permit Issued,47.67387519,-122.2541621
37398,6520818,Construction,INSTITUTIONAL,NEW,Plan Review,5033373.0,2016-07-08,,2018-01-08,Permit Issued,47.65235247,-122.3098752
37399,6384776,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,324000.0,2014-08-29,2015-09-15,2016-02-29,Permit Closed,47.67340697,-122.3738629
37403,6570582,Construction,MULTIFAMILY,NEW,Plan Review,422101.0,2017-09-24,,2019-03-24,Permit Issued,47.61934177,-122.2988718
37404,6569897,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,392137.0,2017-09-03,,2019-03-03,Permit Issued,47.67536003,-122.3287434
37414,6357106,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,365268.0,2013-06-14,2014-03-07,2014-12-14,Permit Closed,47.72190445,-122.351372
37428,6147225,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,480858.0,2016-08-26,,2018-02-26,Permit Issued,47.67690596,-122.38456409999998
37464,6536939,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,369101.0,2016-11-03,,2018-05-03,Permit Issued,47.63981886,-122.2781885
37483,6567908,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,327326.0,2017-03-13,2018-01-08,2018-09-13,Permit Closed,47.69088096,-122.3804439
37496,6528065,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,250133.0,2016-09-06,2017-06-29,2018-03-06,Permit Closed,47.67219754,-122.3801584
37501,6512659,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,389582.0,2016-12-29,,2018-06-29,Permit Issued,47.63998918,-122.3244347
37512,6449980,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,391922.0,2017-05-07,,2018-11-07,Permit Issued,47.69367841,-122.3597036
37519,6374639,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,328251.0,2014-02-24,,2015-08-24,Permit Issued,47.70957733,-122.3047166
37520,6416909,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,426560.0,2014-10-14,2015-09-16,2016-04-14,Permit Closed,47.50921541,-122.3818463
