,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
10654,6340569,COMMERCIAL,13869001.0,2013-05-24,2015-10-08,Permit Closed,47.61523711,-122.33836399999998
10781,6327888,COMMERCIAL,8624394.0,2015-03-19,2017-05-24,Permit Closed,47.5797349,-122.3113805
10828,6320888,COMMERCIAL,37996824.0,2014-05-19,2017-03-29,Permit Closed,47.61507396,-122.3275934
10829,6338691,MULTIFAMILY,1245069.0,2013-09-17,2015-03-06,Cert of Occupancy Authorized,47.67062562,-122.3794832
10951,6270553,COMMERCIAL,38615380.0,2015-11-30,2015-12-02,Permit Closed,47.66786255,-122.3811338
11189,6323430,MULTIFAMILY,2678538.0,2013-10-22,2015-12-04,Permit Closed,47.59055076,-122.2920699
11245,6410037,MULTIFAMILY,4502144.0,2016-01-28,2017-10-10,Permit Closed,47.67295718,-122.3177162
11881,6351824,COMMERCIAL,3197568.0,2014-07-24,2016-08-16,Permit Closed,47.60594155,-122.3147824
12251,6223833,COMMERCIAL,3452437.0,2015-02-24,2017-02-08,Permit Closed,47.61946557,-122.3549321
12465,6391378,MULTIFAMILY,1882935.0,2014-11-18,2017-07-21,Permit Closed,47.57564287,-122.2943662
12511,6498620,MULTIFAMILY,1029686.0,2016-10-24,2017-10-31,Cert of Occupancy Authorized,47.56574477,-122.377096
12776,6098854,COMMERCIAL,2823000.0,2014-08-18,2016-09-26,Permit Finaled,47.64790943,-122.3381579
12831,6485563,MULTIFAMILY,1028920.0,2016-08-24,2018-01-22,Permit Closed,47.58929449,-122.31570990000002
12990,6432554,MULTIFAMILY,1398639.0,2015-07-07,2016-12-12,Cert of Occupancy Authorized,47.65218971,-122.3488791
13069,6402734,MULTIFAMILY,1250000.0,2015-06-19,2016-09-20,Permit Closed,47.62652445,-122.36188500000002
13082,6406127,MULTIFAMILY,1088154.0,2015-05-12,2016-11-09,Cert of Occupancy Authorized,47.66462636,-122.3080649
13122,6424610,INSTITUTIONAL,1422699.0,2015-03-26,2017-01-31,Permit Closed,47.65162035,-122.3129426
13228,6384010,MULTIFAMILY,1028060.0,2014-08-21,2016-05-05,Permit Finaled,47.62440845,-122.3139213
13239,6357335,MULTIFAMILY,16000000.0,2014-05-21,2015-12-22,Permit Closed,47.60189636,-122.3218343
13557,6349605,COMMERCIAL,76001621.0,2015-03-13,2017-10-16,Permit Closed,47.61067146,-122.3395868
13661,6347127,MULTIFAMILY,1875624.0,2013-09-07,2015-07-16,Permit Closed,47.66218798,-122.3168121
13683,6411450,COMMERCIAL,11520190.0,2015-06-16,2017-05-22,Permit Closed,47.6692679,-122.3780555
13823,6375339,MULTIFAMILY,16777206.0,2014-09-10,2017-01-06,Permit Closed,47.59941516,-122.328589
13828,6330639,COMMERCIAL,1731201.0,2013-06-18,2014-10-30,Cert of Occupancy Authorized,47.61728899,-122.316704
13870,6310152,MULTIFAMILY,2741700.0,2014-10-10,2016-08-09,Permit Closed,47.60282807,-122.3171044
13881,6371164,MULTIFAMILY,1200000.0,2014-03-11,2015-09-30,Permit Closed,47.67607614,-122.3184738
13908,6226141,COMMERCIAL,10618568.0,2015-07-30,2017-04-20,Permit Closed,47.64464664,-122.3261037
13958,6445064,MULTIFAMILY,1174386.0,2015-11-30,2017-07-03,Permit Closed,47.58864636,-122.3113702
14072,6151786,MULTIFAMILY,4000000.0,2013-08-05,2017-05-19,Permit Closed,47.56709607,-122.3648987
14119,6300726,COMMERCIAL,3555000.0,2013-06-11,2015-04-06,Permit Closed,47.56724864,-122.3077676
14221,6368919,MULTIFAMILY,11343559.0,2015-02-04,2017-01-10,Permit Closed,47.64769819,-122.3357445
14376,6477452,COMMERCIAL,3550000.0,2016-01-22,2017-08-08,Permit Closed,47.6496355,-122.3484192
14455,6306055,MULTIFAMILY,5244767.0,2013-08-13,2015-02-23,Permit Closed,47.6575664,-122.3158551
14541,6170569,COMMERCIAL,15849508.0,2013-11-13,2013-11-15,Permit Closed,47.66838544,-122.37200690000002
14803,6362241,MULTIFAMILY,3340052.0,2014-04-01,2016-05-18,Permit Closed,47.67549945,-122.3869655
14809,6380059,COMMERCIAL,68456803.0,2014-12-31,2017-03-27,Permit Closed,47.62334132,-122.3345852
15202,6450358,COMMERCIAL,1003319.0,2016-07-26,2017-07-24,Permit Closed,47.65108945,-122.3519223
15211,6422105,MULTIFAMILY,2034789.0,2015-11-25,2017-01-20,Permit Closed,47.66168854,-122.343299
15217,6356725,MULTIFAMILY,1217468.0,2013-10-29,2015-08-31,Permit Closed,47.54894465,-122.3875175
15542,6366843,COMMERCIAL,1800000.0,2014-05-27,2016-08-12,Permit Closed,47.56349829,-122.3764051
15655,6191419,COMMERCIAL,2025448.0,2014-08-04,2016-09-26,Permit Closed,47.56349829,-122.3764051
15699,6334523,MULTIFAMILY,3895315.0,2014-09-18,2016-06-14,Permit Closed,47.64614289,-122.3249911
15749,6339006,MULTIFAMILY,4575346.0,2013-05-15,2014-09-05,Permit Closed,47.61975799,-122.314684
15767,6378214,MULTIFAMILY,4618550.0,2014-09-29,2016-05-25,Permit Closed,47.60024388,-122.3350917
15902,6303152,MULTIFAMILY,13933837.0,2013-09-07,2015-07-16,Permit Closed,47.66249799,-122.3167672
16045,6331518,MULTIFAMILY,11597587.0,2014-04-11,2016-06-28,Permit Closed,47.60009582,-122.328416
16258,6526216,MULTIFAMILY,6585178.0,2016-11-10,2018-02-28,Permit Closed,47.57161504,-122.2934777
16730,6366650,COMMERCIAL,1500000.0,2014-05-21,2015-12-10,Permit Closed,47.61507396,-122.3275934
17117,6350629,COMMERCIAL,15147171.0,2014-12-03,2016-10-12,Permit Closed,47.61387582,-122.3252557
17180,6398645,MULTIFAMILY,1060000.0,2015-01-06,2016-06-01,Permit Closed,47.62233781,-122.3165435
17280,6365081,COMMERCIAL,10222562.0,2013-10-02,2015-06-11,Permit Closed,47.58538659,-122.3231348
17364,6366004,COMMERCIAL,3000000.0,2014-05-17,2016-07-29,Permit Closed,47.65310607,-122.34318020000002
